LOCALIDADE;LATITUDE;LONGITUDE;REGIAO;STATUS;QTD_REGISTROS
JARDIM CARIOCA;-22.9068;-43.1729;Centro;BAIRRO RJ;6
CAVALCANTE;-22.9068;-43.1729;Centro;BAIRRO RJ;6
BANCARIOS;-22.9068;-43.1729;Centro;BAIRRO RJ;6
CATETE;-22.9068;-43.1729;Centro;BAIRRO RJ;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;6
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;6
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;6
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;6
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;6
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;6
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;5
MIGUEL PEREIRA;-22.4537;-43.4682;Centro-Sul Fluminense;FORA DO MUNICIPIO;5
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;5
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;5
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;5
ITABORAI;-22.7448;-42.8597;Grande Niterói;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;5
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;5
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;5
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;5
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;5
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;5
ANIL;-22.9068;-43.1729;Centro;BAIRRO RJ;5
ABOLICAO;-22.8861;-43.3003;Zona Norte;BAIRRO RJ;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;5
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;5
SÃO CRISTÓVÃO;-22.8997;-43.2242;Zona Norte;BAIRRO RJ;5
MARÉ;-22.8615;-43.2433;Zona Norte;BAIRRO RJ;5
MARIA DA GRACA;-22.9068;-43.1729;Centro;BAIRRO RJ;5
PRAÇA SECA;-22.8964;-43.3525;Zona Oeste;BAIRRO RJ;5
PORTUGUESA;-22.9068;-43.1729;Centro;BAIRRO RJ;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;5
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;5
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;5
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;5
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;5
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;5
PARADA  DE LUCAS;-22.9068;-43.1729;Centro;BAIRRO RJ;5
CAMPO  GRANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;5
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;4
LAGOA;-22.9068;-43.1729;Centro;BAIRRO RJ;4
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;4
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;4
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;4
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;4
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;4
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;4
SANTA  CRUZ;-22.9068;-43.1729;Centro;BAIRRO RJ;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;4
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;4
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;4
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;4
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;4
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
SAQUAREMA;-22.9324;-42.5099;Região dos Lagos;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;4
PARACAMBI;-22.6078;-43.7108;Baixada Fluminense;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;4
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;4
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;4
QUINTINO;-22.9068;-43.1729;Centro;BAIRRO RJ;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;4
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;4
RECREIO;-22.9068;-43.1729;Centro;BAIRRO RJ;4
COCOTA;-22.9068;-43.1729;Centro;BAIRRO RJ;4
INHOAÍBA;-22.8981;-43.5419;Zona Oeste;BAIRRO RJ;4
COSME VELHO;-22.9068;-43.1729;Centro;BAIRRO RJ;4
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;4
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;4
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;4
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;4
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
PARACAMBI;-22.6078;-43.7108;Baixada Fluminense;FORA DO MUNICIPIO;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;3
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;3
MANGARATIBA;-22.9599;-44.0409;Costa Verde;FORA DO MUNICIPIO;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;3
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;3
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;3
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;3
SÃO CRISTOVÃO;-22.8997;-43.2242;Zona Norte;BAIRRO RJ;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
MIGUEL PEREIRA;-22.4537;-43.4682;Centro-Sul Fluminense;FORA DO MUNICIPIO;3
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;3
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;3
JACAREPAGUA    TAQUARA;-22.9068;-43.1729;Centro;BAIRRO RJ;3
GUAPIMIRIM;-22.5371;-42.9897;Baixada Fluminense;FORA DO MUNICIPIO;3
ÁGUA SANTA;-22.9177;-43.3119;Zona Norte;BAIRRO RJ;3
JARDIM BOTANICO;-22.9686;-43.2242;Zona Sul;BAIRRO RJ;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;3
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;3
DUQUE DE CAXIAS;-22.9068;-43.1729;Centro;BAIRRO RJ;3
CAMPÓ GRANDE;-22.9067;-43.5581;Zona Oeste;BAIRRO RJ;3
NILOPOLIS;-22.9068;-43.1729;Centro;BAIRRO RJ;3
PRACA DA BANDEIRA;-22.9114;-43.2136;Centro;BAIRRO RJ;3
JACAREPAGUA     TAQUARA;-22.9068;-43.1729;Centro;BAIRRO RJ;3
LINS VASCONCELOS;-22.9068;-43.1729;Centro;BAIRRO RJ;3
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;3
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;3
JARDIM BANGU;-22.9068;-43.1729;Centro;BAIRRO RJ;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;3
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;3
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;3
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;3
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;3
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;3
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;3
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;3
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;FORA DO MUNICIPIO;3
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;3
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
RICARDO ALBUQUERQUE;-22.9068;-43.1729;Centro;BAIRRO RJ;2
ARARUAMA;-22.8727;-42.3434;Região dos Lagos;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
SAQUAREMA;-22.9324;-42.5099;Região dos Lagos;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.9068;-43.1729;Centro;BAIRRO RJ;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;2
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
SAQUAREMA;-22.9324;-42.5099;Região dos Lagos;FORA DO MUNICIPIO;2
CABO FRIO;-22.8894;-42.0286;Região dos Lagos;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
PARQUE COLUMBIA    PAVUNA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
SÃO FRANCISCO XAVIER;-22.9068;-43.1729;Centro;BAIRRO RJ;2
CIDADE NOVA;-22.9131;-43.2081;Centro;BAIRRO RJ;2
ITABORAI;-22.7448;-42.8597;Grande Niterói;FORA DO MUNICIPIO;2
LINS DE VASCONCELLOS;-22.9068;-43.1729;Centro;BAIRRO RJ;2
ZUMBI;-22.87;-43.27;Zona Norte;BAIRRO RJ;2
ABOLIÇÃO;-22.8861;-43.3003;Zona Norte;BAIRRO RJ;2
DUMAS;-22.9068;-43.1729;Centro;BAIRRO RJ;2
SULACAP;-22.9068;-43.1729;Centro;BAIRRO RJ;2
SAO JOAO DE MERITI;-22.9068;-43.1729;Centro;BAIRRO RJ;2
JACARÉ;-22.8958;-43.2587;Zona Norte;BAIRRO RJ;2
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;FORA DO MUNICIPIO;2
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;2
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;2
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;2
ITABORAI;-22.7448;-42.8597;Grande Niterói;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
JAPERI;-22.9068;-43.1729;Centro;BAIRRO RJ;2
ABOLIÇAO;-22.8861;-43.3003;Zona Norte;BAIRRO RJ;2
BARRA DE  GUARATIBA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
RIACHUELO;-22.9068;-43.1729;Centro;BAIRRO RJ;2
GUARABU;-22.9068;-43.1729;Centro;BAIRRO RJ;2
MARAPICU;-22.9068;-43.1729;Centro;BAIRRO RJ;2
VASCO DA GAMA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
NOVA HOLANDA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
ICARAI;-22.9068;-43.1729;Centro;BAIRRO RJ;2
ESTÁCIO;-22.9136;-43.2035;Centro;BAIRRO RJ;2
SAUDE;-22.9068;-43.1729;Centro;BAIRRO RJ;2
NOVA IGUACU;-22.9068;-43.1729;Centro;BAIRRO RJ;2
PARQUE COLUMBIA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
ITAGUAÍ;-22.9068;-43.1729;Centro;BAIRRO RJ;2
SAO CONRADO;-22.9997;-43.2708;Zona Sul;BAIRRO RJ;2
JACAREPAGUA    CURICICA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
JACAREPAGUA   FREGUESIA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
JACAREPAGUA   PECHINCHA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
INHAOIBA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
JACAREPAGUA  FREGUESIA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
JACAREPAGUA - CIDADE DE DEUS;-22.9068;-43.1729;Centro;BAIRRO RJ;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
JACAREPAGUA-ANIL;-22.9068;-43.1729;Centro;BAIRRO RJ;2
SENADOR  CAMARA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
PARQUE  ANCHIETA;-22.9068;-43.1729;Centro;BAIRRO RJ;2
GANGU;-22.9068;-43.1729;Centro;BAIRRO RJ;2
